ROWNO,SITE_ID,SITE_NAME,MSR_DATE,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93,M94,M95,M96,M97,M98,M99,M100
122648,S03010,옥천천,2012-07-01,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,2.012,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,7.5,277,7.4,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
122649,S03011,이원,2012-07-01,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,1.277,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,7.4,141,7.2,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
122650,S03012,봉황천,2012-07-01,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,2.481,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,6.9,242,,120.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
122651,S03013,남면,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121879,S01002,흥천,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120378,S02015,칠곡,2012-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122669,S01010,서상,2012-07-02,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,1.057,0.01,,,,,,,,,,19.2,7.5,100,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,7.5,100,7.5,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
120380,S02018,봉화,2012-07-02,,,,,,1.5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.1,1.609,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8,8.3,336,5.1,3.8,0,0,0,0.008,,,,,,,0,,,,,,,,,,,,,,,,
120381,S02019,구미,2012-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120382,S02020,신암,2012-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120383,S02021,도개,2012-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120384,S02022,회상,2012-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120385,S02106,(구)청암,2012-07-02,,,,,,3.4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,0.055,,,96,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,9,330,9.1,7,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,
120986,S04005,용봉,2012-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120987,S04006,구례,2012-07-02,,,,,,3.7,,,,,,0,0,0,0,0,0,0,0,0,0,1.5,0.1,0.2,0.2,0.7,1.412,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,7.5,184,7.8,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
120988,S04007,탐진호,2012-07-02,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,0.654,0.01,3.3,,,,,,,,,21,8.4,69,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
120989,S04008,동복호,2012-07-02,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,0.902,0.005,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,7.7,83,8.4,3.7,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,
120386,S03002,갑천,2012-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120387,S03003,대청호,2012-07-02,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,0.849,0.026,3.9,,,,,,,,,25.3,8.4,150,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
120388,S03004,공주,2012-07-02,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,213,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,7.1,246,6.5,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
120389,S03005,부여,2012-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120390,S03006,미호천,2012-07-02,,,,,,5.4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,25.6,7.2,282,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,
120391,S03007,장계,2012-07-02,,,,,,2,,,,,,,,,,,,,,,,,,,,,0.932,0.035,3.6,,,,,,,,,26.6,7.9,148,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120392,S03008,용담호,2012-07-02,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,1.703,0.006,0.2,,,,,,,,,23.3,7.7,94,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120393,S03009,현도,2012-07-02,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,1.729,0.005,,,,,,,,0.044,1.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,7.2,134,8.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
120394,S03010,옥천천,2012-07-02,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,2.326,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,7.7,315,7.8,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
120395,S03011,이원,2012-07-02,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,1.652,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,7.4,144,7.4,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
120396,S03012,봉황천,2012-07-02,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,2.109,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,6.9,227,,586.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
120397,S03013,남면,2012-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120398,S03104,(구)공주,2012-07-02,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,213,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,7.1,246,6.5,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
120399,S04001,주암호,2012-07-02,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,0.786,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,7.9,69,8.9,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
